"genome_id","genome_name","genome_quality","genome_status"
"470.24269","Acinetobacter baumannii 20200622_MGL_69","Good","WGS"
"470.24270","Acinetobacter baumannii 20200622_MGL_62","Good","WGS"
"470.24277","Acinetobacter baumannii MGL_166","Good","WGS"
"470.24278","Acinetobacter baumannii MGL_168","Good","WGS"
"470.24279","Acinetobacter baumannii MGL_165","Good","WGS"
"470.24280","Acinetobacter baumannii 20200203_MGL_15","Good","WGS"
"470.24281","Acinetobacter baumannii MGL_154","Good","WGS"
"470.24282","Acinetobacter baumannii 20200317_MGL_42","Good","WGS"
"470.24283","Acinetobacter baumannii 20200317_MGL_38","Good","WGS"
"470.24284","Acinetobacter baumannii 20200317_MGL_36","Good","WGS"
"470.24288","Acinetobacter baumannii MGL_Ab_11","Good","WGS"
"470.24289","Acinetobacter baumannii MGL_Ab_10","Good","WGS"
"470.24290","Acinetobacter baumannii MGL_Ab_9","Good","WGS"
"470.24292","Acinetobacter baumannii MGL_Ab_7","Good","WGS"
"470.24294","Acinetobacter baumannii MGL_Ab_3","Good","WGS"
"470.24295","Acinetobacter baumannii MGL_Ab_4","Good","WGS"
"470.24299","Acinetobacter baumannii MGL_132","Good","WGS"
"470.24336","Acinetobacter baumannii MGL_77","Good","WGS"
"470.24337","Acinetobacter baumannii MGL_Ab_12","Good","WGS"
"470.2843","Acinetobacter baumannii strain AR_0036","Good","WGS"
"470.2844","Acinetobacter baumannii strain AR_0037","Good","WGS"
"470.2845","Acinetobacter baumannii strain AR_0033","Good","WGS"
"470.2846","Acinetobacter baumannii strain AR_0035","Good","WGS"
"470.2847","Acinetobacter baumannii strain AR_0045","Good","WGS"
"470.3764","Acinetobacter baumannii strain ARLG-1818","Good","WGS"
"470.3765","Acinetobacter baumannii strain ARLG-1775","Good","WGS"
"470.3766","Acinetobacter baumannii strain ARLG-1915","Good","WGS"
"470.3767","Acinetobacter baumannii strain ARLG-1788","Good","WGS"
"470.3768","Acinetobacter baumannii strain ARLG-1777","Good","WGS"
"470.3769","Acinetobacter baumannii strain ARLG-1860","Good","WGS"
"470.3770","Acinetobacter baumannii strain ARLG-1894","Good","WGS"
"470.3771","Acinetobacter baumannii strain ARLG-1854","Good","WGS"
"470.3772","Acinetobacter baumannii strain ARLG-1912","Good","WGS"
"470.3996","Acinetobacter baumannii strain ABCRPSTH03","Good","WGS"
"470.3997","Acinetobacter baumannii strain ABCRPSTH04","Good","WGS"
"470.3998","Acinetobacter baumannii strain ABCRPSTH07","Good","WGS"
"470.3999","Acinetobacter baumannii strain ABCRPSTH05","Good","WGS"
"470.4000","Acinetobacter baumannii strain ABCRPSTH09","Good","WGS"
"470.4001","Acinetobacter baumannii strain ABCRPSTH06","Good","WGS"
"470.4002","Acinetobacter baumannii strain ABCRPSTH10","Good","WGS"
"470.4003","Acinetobacter baumannii strain ABCRPSTH12","Good","WGS"
"470.4004","Acinetobacter baumannii strain ABCRPUTH04","Good","WGS"
"470.4005","Acinetobacter baumannii strain ABCRPUTH05","Good","WGS"
"470.4006","Acinetobacter baumannii strain ABCRPUTH07","Good","WGS"
"470.4007","Acinetobacter baumannii strain ABCRPUTH09","Good","WGS"
"470.4008","Acinetobacter baumannii strain ABCRPUTH08","Good","WGS"
"470.4009","Acinetobacter baumannii strain ABCRPUTH10","Good","WGS"
"470.4010","Acinetobacter baumannii strain ABCRPUTH12","Good","WGS"
"470.4011","Acinetobacter baumannii strain ABCRPUTH13","Good","WGS"
"470.4012","Acinetobacter baumannii strain ABCRPUTH14","Good","WGS"
"470.4013","Acinetobacter baumannii strain ABCRPUTH15","Good","WGS"
"470.4014","Acinetobacter baumannii strain ABCRPSTH08","Good","WGS"
"470.4015","Acinetobacter baumannii strain ABCRPSTH11","Good","WGS"
"470.4016","Acinetobacter baumannii strain ABCRPUTH11","Good","WGS"
"470.4017","Acinetobacter baumannii strain ABCRPUTH06","Good","WGS"
"470.4063","Acinetobacter baumannii strain SIUA6","Good","WGS"
"470.4064","Acinetobacter baumannii strain SIPA5","Good","WGS"
"470.4065","Acinetobacter baumannii strain SIUA14","Good","WGS"
"470.4066","Acinetobacter baumannii strain SIPA14","Good","WGS"
"470.4701","Acinetobacter baumannii strain AR_0056","Good","Complete"
"470.4702","Acinetobacter baumannii strain AR_0063","Good","Complete"
"470.4704","Acinetobacter baumannii strain AR_0078","Good","Complete"
"470.4748","Acinetobacter baumannii strain AR_0088","Good","Complete"
"470.4785","Acinetobacter baumannii strain AR_0102","Good","Complete"
"470.4786","Acinetobacter baumannii strain AR_0101","Good","Complete"
"470.4792","Acinetobacter baumannii strain SGH1011","Good","WGS"
"470.4809","Acinetobacter baumannii strain KCRI-186 strain RDK03_186","Good","WGS"
"470.4823","Acinetobacter baumannii strain KCRI-49 strain RDK39_49","Good","WGS"
"470.4824","Acinetobacter baumannii strain KCRI-518B strain RDK05_518B","Good","WGS"
"470.4825","Acinetobacter baumannii strain KCRI-558 strain RDK05_558","Good","WGS"
"470.4826","Acinetobacter baumannii strain KCRI-423 strain RDK06_423","Good","WGS"
"470.4827","Acinetobacter baumannii strain KCRI-432B strain RDK37_43","Good","WGS"
"470.4828","Acinetobacter baumannii strain KCRI-43 strain RDK06_432B","Good","WGS"
"470.4829","Acinetobacter baumannii strain KCRI-363 strain RDK04_363","Good","WGS"
"470.4830","Acinetobacter baumannii strain KCRI-309C strain RDK01_309C","Good","WGS"
"470.4831","Acinetobacter baumannii strain KCRI-123C strain R0004_123C","Good","WGS"
"470.4832","Acinetobacter baumannii strain KCRI-28 strain RDK36_28","Good","WGS"
"470.4833","Acinetobacter baumannii strain KCRI-164C strain RDK01_164C","Good","WGS"
"470.4834","Acinetobacter baumannii strain KCRI-33 strain RDK36_33","Good","WGS"
"470.4835","Acinetobacter baumannii strain KCRI-116 strain RDK02_116","Good","WGS"
"470.4881","Acinetobacter baumannii strain AR_0056","Good","Complete"
"470.4882","Acinetobacter baumannii strain SGH0402","Good","WGS"
"470.4883","Acinetobacter baumannii strain SGH0602","Good","WGS"
"470.4885","Acinetobacter baumannii strain SGH0702","Good","WGS"
"470.4886","Acinetobacter baumannii strain SGH0905","Good","WGS"
"470.4887","Acinetobacter baumannii strain SGH0907","Good","WGS"
